ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
diesel,suv,1,kia,kia seltos,2022,7121,gtx plus diesel at,1900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,10000,unknown,1493,automatic,24,14,20,34,11,18.0,113.43,250.0,17.0,Delhi
petrol,suv,2,hyundai,hyundai creta,2016,1449,1.6 vtvt s,762000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,57437,hr51,1591,manual,15,10,9,23,8,15.29,121.3,151.0,16.0,Delhi
petrol,suv,1,mercedes-benz,mercedes-benz glc,2020,6837,200,5600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,8000,dl01,1991,automatic,31,14,16,42,12,12.74,197.0,198.9501258327165,19.0,Delhi
petrol,hatchback,2,maruti,maruti swift,2018,10403,vxi,523000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,28151,dl4c,1197,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Delhi
petrol,suv,1,hyundai,hyundai creta,2017,5362,1.6 vtvt e plus,765000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,dl8c,1591,manual,16,9,8,23,9,15.29,121.3,151.0,16.0,Delhi
petrol,suv,1,kia,kia sonet,2021,8000,htk plus bsvi,894999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,20000,dl9x,1197,manual,12,9,13,26,10,18.4,81.86,115.0,16.0,Delhi
cng,sedan,1,hyundai,hyundai aura,2021,7333,s cng,708000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,42682,up14,1197,manual,15,11,9,23,7,0.0,68.05,198.9501258327165,16.0,Delhi
petrol,hatchback,1,volkswagen,volkswagen polo,2017,1945,1.2 mpi trendline,400000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,44653,dl10,1198,manual,12,10,10,17,0,18.78,74.0,110.0,16.0,Delhi
cng,hatchback,1,hyundai,hyundai grand i10 nios,2022,10098,magna cng,725000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,7000,dl3c,1197,manual,13,6,5,19,7,0.0,67.72,95.2,16.0,Delhi
petrol,hatchback,1,maruti,maruti baleno,2019,6776,alpha,663000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,67823,up16,1197,manual,16,12,16,30,11,21.01,81.8,113.0,16.0,Delhi
petrol,hatchback,1,honda,honda brio,2014,1193,vx at,390000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,50000,dl04,1198,automatic,12,11,9,21,5,16.5,86.8,109.0,14.0,Delhi
diesel,suv,1,nissan,nissan kicks,2019,6760,xv d bsiv,784000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,97055,up15,1461,manual,22,12,12,28,9,20.45,108.5,240.0,17.0,Delhi
petrol,sedan,1,toyota,toyota camry,2017,5636,2.5 hybrid,2100000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,114000,dl3c,2494,automatic,25,15,12,34,10,19.16,157.7,213.0,17.0,Delhi
diesel,suv,1,kia,kia sonet,2022,8059,1.5 gtx plus diesel dt,1350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,24000,dl10,1493,manual,25,13,20,33,11,0.0,98.63,198.9501258327165,16.0,Delhi
diesel,sedan,1,bmw,bmw 5 series,2016,5871,520d luxury line,2350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,dl01,1995,automatic,24,13,13,29,9,18.12,190.0,400.0,18.0,Delhi
electric,hatchback,1,mini,mini cooper se,2023,8669,electric,4600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,4,6000,dl03,0,automatic,25,16,21,26,12,0.0,181.03,270.0,17.0,Delhi
petrol,muv,1,toyota,toyota innova crysta,2022,8187,2.7 vx 7 str,2250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,7000,hr26,2694,manual,23,14,16,32,10,8.0,163.6,198.9501258327165,16.0,Delhi
diesel,suv,1,mg,mg gloster,2021,8091,sharp 7-str,3500000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,34000,dl2c,1996,automatic,33,15,25,41,11,12.4,215.01,198.9501258327165,19.0,Delhi
diesel,suv,1,bmw,bmw x1,2013,337,sdrive 20d sportline,900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,29000,up21,1995,automatic,23,13,16,28,8,17.05,184.0,380.0,17.0,Delhi
petrol,suv,1,mercedes-benz,mercedes-benz glc,2020,6837,200,5245000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,38000,dl09,1991,automatic,31,14,16,42,12,12.74,197.0,198.9501258327165,19.0,Delhi
diesel,suv,1,tata,tata safari storme,2013,2876,ex,350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,150000,uk07,2179,manual,14,9,11,15,0,14.0,138.1,320.0,16.0,Delhi
