ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,sedan,3,toyota,toyota camry,2014,2123,hybrid,975000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,70000,wb02,2494,automatic,16,10,10,26,5,19.16,158.2,213.0,17.0,Kolkata
petrol,hatchback,1,datsun,datsun redigo,2017,5236,t option,266000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23981,wb24,799,manual,10,7,6,15,5,22.7,53.64,72.0,16.0,Kolkata
petrol,suv,1,renault,renault kiger,2021,8352,rxt amt,595000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,7100,wb06,999,automatic,16,10,13,26,11,19.03,71.01,96.0,16.0,Kolkata
petrol,hatchback,2,hyundai,hyundai i20,2011,1642,1.2 sportz,223000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,71574,wb06,1197,manual,14,12,9,17,4,17.0,103.11962880475131,170.553712,14.0,Kolkata
diesel,suv,2,audi,audi q3,2014,99,35 tdi quattro premium,1200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,wb02,1968,automatic,20,12,14,28,5,15.73,174.33,380.0,16.0,Kolkata
petrol,hatchback,1,maruti,maruti wagon r,2018,7051,vxi amt 1.2,425000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,35629,wb18,1197,automatic,9,9,5,25,6,20.52,81.8,113.0,16.0,Kolkata
petrol,hatchback,2,hyundai,hyundai santro,2020,7463,sportz amt,596000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,11476,wb02,1086,automatic,11,9,7,23,11,20.3,68.05,99.0,16.0,Kolkata
petrol,hatchback,1,renault,renault kwid,2018,5096,rxt optional,250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,31000,wb02,799,manual,9,9,7,21,6,25.17,53.3,72.0,16.0,Kolkata
petrol,sedan,2,maruti,maruti swift dzire,2011,4224,vxi,221000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,41005,wb24,1298,manual,13,8,6,14,4,17.5,85.8,114.0,14.0,Kolkata
petrol,hatchback,1,maruti,maruti wagon r,2010,4348,lx bs iv,208000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,60055,wb06,998,manual,3,5,4,9,0,18.9,67.1,90.0,13.0,Kolkata
petrol,hatchback,1,maruti,maruti swift,2013,4202,vxi,311000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,65005,wb22,1197,manual,11,9,8,15,0,18.6,85.8,114.0,14.0,Kolkata
petrol,hatchback,1,renault,renault kwid,2022,7429,rxt,463999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,2657,wb08,799,manual,10,7,8,22,9,22.3,53.26,72.0,16.0,Kolkata
petrol,hatchback,1,hyundai,hyundai i10,2011,1569,magna 1.1l,204999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,16000,wb06,1086,manual,8,7,4,13,0,19.81,68.05,99.04,16.0,Kolkata
diesel,suv,1,tata,tata harrier,2023,7496,xza plus at bsvi,2175000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,7426,wb02,1956,automatic,17,15,16,26,11,14.6,167.67,350.0,17.0,Kolkata
petrol,hatchback,1,maruti,maruti baleno,2018,3964,1.2 cvt delta,643000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,27046,wb08,1197,automatic,11,10,12,24,8,21.4,83.1,115.0,16.0,Kolkata
diesel,suv,1,toyota,toyota fortuner,2021,7618,2.8 4wd at,3750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,30100,wb08,2755,automatic,31,12,19,35,10,15.04,174.5,450.0,18.0,Kolkata
petrol,hatchback,1,maruti,maruti wagon r,2022,8835,lxi bsvi,545000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,9000,wb06,998,manual,7,8,4,19,0,24.35,65.71,89.0,16.0,Kolkata
petrol,hatchback,1,hyundai,hyundai i20,2022,8153,sportz bsvi,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,17000,wb02,1197,manual,21,10,12,33,11,21.0,81.8,114.74,16.0,Kolkata
diesel,suv,1,jeep,jeep compass,2021,7885,2.0 longitude option at,1650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,49200,wb06,1956,automatic,14,11,16,22,8,17.1,170.0,350.0,17.0,Kolkata
petrol,hatchback,2,hyundai,hyundai i10,2009,1567,era,225000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,35000,wb20,1086,manual,6,7,4,11,0,19.81,68.05,99.04,16.0,Kolkata
diesel,suv,2,land rover,land rover range rover evoque,2020,7873,2.0 r-dynamic se diesel 2020-2021,5990000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,unknown,1999,automatic,33,13,17,40,9,0.0,245.4,430.0,18.0,Kolkata
petrol,hatchback,1,maruti,maruti alto k10,2017,7013,vxi optional,315000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,54044,wb12,998,manual,9,9,7,20,5,23.95,67.05,90.0,16.0,Kolkata
petrol,suv,1,tata,tata nexon,2021,7384,xm bsvi,799000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,6500,wb10,1199,manual,10,10,8,22,7,17.33,118.35,170.0,16.0,Kolkata
petrol,sedan,1,maruti,maruti ciaz,2017,4022,vxi option,526000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,29159,wb06,1373,manual,16,10,8,22,6,20.73,91.1,130.0,16.0,Kolkata
diesel,suv,2,land rover,land rover range rover evoque,2020,7873,2.0 r-dynamic se diesel 2020-2021,5990000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,unknown,1999,automatic,33,13,17,40,9,0.0,245.4,430.0,18.0,Kolkata
petrol,sedan,1,honda,honda city,2016,1217,i vtec cvt vx,675000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,31968,wb02,1497,automatic,21,14,11,23,7,18.0,117.3,145.0,15.0,Kolkata
petrol,hatchback,2,hyundai,hyundai grand i10 nios,2019,7094,asta,612000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,44150,wb02,1197,manual,21,12,16,24,11,20.7,81.86,170.553712,15.0,Kolkata
petrol,hatchback,1,hyundai,hyundai i20,2010,8988,1.2 magna opt,189000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,unknown,1197,manual,14,12,10,19,4,17.0,103.11962880475131,170.553712,14.0,Kolkata
