ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,hatchback,3,maruti,maruti celerio,2015,3979,vxi,400000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,ka51,998,manual,10,7,5,13,0,23.1,67.04,90.0,16.0,Bangalore
petrol,suv,2,ford,ford ecosport,2018,6087,1.5 petrol titanium bsiv,811000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,32706,ka05,1497,manual,17,12,12,27,9,17.0,121.31,150.0,16.0,Bangalore
petrol,hatchback,1,tata,tata tiago,2018,2983,1.2 revotron xz,585000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,11949,ka03,1199,manual,14,12,13,24,8,23.84,84.0,114.0,14.0,Bangalore
petrol,sedan,1,hyundai,hyundai xcent,2014,1867,1.2 kappa s option,462000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,17794,ka53,1197,manual,16,10,10,18,7,19.1,81.86,113.75,14.0,Bangalore
diesel,suv,1,maruti,maruti sx4 s cross,2015,4277,ddis 200 zeta,790000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,ka04,1248,manual,21,11,13,22,8,23.65,88.5,200.0,16.0,Bangalore
diesel,suv,1,jeep,jeep compass,2020,5931,2.0 longitude bsiv,1900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,ka04,1956,manual,13,11,15,22,8,17.1,170.0,350.0,17.0,Bangalore
petrol,hatchback,1,datsun,datsun go,2017,5223,t option bsiv,345000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,37772,ka05,1198,manual,11,8,5,17,5,20.63,67.0,104.0,16.0,Bangalore
petrol,suv,1,hyundai,hyundai venue,2021,6946,sx plus turbo dct bsiv,1200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,ka51,998,automatic,20,11,12,31,6,18.15,118.35,171.6,16.0,Bangalore
petrol,sedan,1,maruti,maruti ciaz,2018,6555,alpha automatic bsiv,960000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,37000,ka03,1462,automatic,22,12,11,29,8,20.28,103.25,138.0,16.0,Bangalore
petrol,hatchback,1,tata,tata tiago,2017,2985,1.2 revotron xz wo alloy,585000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,11949,ka03,1199,manual,14,11,13,24,8,23.84,84.0,114.0,16.0,Bangalore
petrol,hatchback,1,maruti,maruti baleno,2018,3962,1.2 delta,690000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,unknown,1197,manual,11,10,12,24,8,21.4,83.1,115.0,16.0,Bangalore
petrol,hatchback,1,hyundai,hyundai grand i10,2019,5606,1.2 kappa sportz option at,682000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,24887,ka51,1197,automatic,15,9,11,24,7,18.9,81.86,179.23388467374812,14.0,Bangalore
petrol,hatchback,1,honda,honda jazz,2018,6506,vx cvt,825000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23000,ka03,1199,automatic,21,13,13,25,9,18.2,88.7,110.0,15.0,Bangalore
petrol,hatchback,1,tata,tata tiago,2018,5653,1.2 revotron xza,595000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,48928,ka03,1199,automatic,17,11,13,24,8,23.84,83.83,114.0,14.0,Bangalore
diesel,suv,3,mahindra,mahindra xuv500,2014,3822,w6 2wd,690000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,108862,ka01,2179,manual,17,10,11,20,4,15.1,140.0,330.0,16.0,Bangalore
diesel,suv,1,jeep,jeep compass,2018,5929,2.0 limited,1350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,od02,1956,manual,14,12,16,23,8,17.1,170.0,350.0,17.0,Bangalore
diesel,suv,1,mercedes-benz,mercedes-benz gla,2022,8437,220d 4m bsvi,5595000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,16000,ka01,1950,automatic,26,15,23,33,12,0.0,187.74,400.0,19.0,Bangalore
