ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,suv,1,kia,kia sonet,2022,8654,turbo dct anniversary edition,1150000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,tn02,998,automatic,20,13,17,30,9,0.0,118.36,177.07433070866145,16.0,Chennai
petrol,minivans,1,maruti,maruti eeco,2015,4025,7 seater standard bsiv,415000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,20687,tn04,1196,manual,3,5,4,13,0,15.37,73.0,101.0,16.0,Chennai
petrol,suv,1,nissan,nissan magnite,2021,8135,turbo xv premium bsvi,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,tn22,999,manual,22,13,20,36,11,20.0,98.63,160.0,16.0,Chennai
petrol,hatchback,1,hyundai,hyundai i10,2015,1579,sportz 1.1l,398000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,59247,tn11,1086,manual,8,9,6,17,6,19.81,68.05,99.04,16.0,Chennai
petrol,hatchback,1,honda,honda jazz,2015,1341,1.2 vx i vtec,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,ka03,1199,manual,14,12,13,22,10,18.7,88.7,110.0,15.0,Chennai
diesel,sedan,1,mercedes-benz,mercedes-benz e-class,2016,4570,e250 cdi avantgarde,3300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,20000,tn06,2143,automatic,22,13,11,27,8,13.0,204.0,500.0,17.0,Chennai
petrol,hatchback,1,maruti,maruti celerio,2016,3995,zxi at optional,453000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,29403,tn09,998,automatic,11,10,9,20,7,23.1,67.04,90.0,16.0,Chennai
petrol,hatchback,1,maruti,maruti a-star,2010,3895,zxi,285000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,42700,tn05,998,manual,11,7,7,10,5,19.0,66.1,90.0,13.0,Chennai
diesel,suv,1,bmw,bmw x3,2018,6367,xdrive 20d luxury line,5000000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23001,tn07,1995,automatic,30,14,18,36,12,16.55,187.7,400.0,16.0,Chennai
petrol,suv,2,ford,ford ecosport,2018,6088,1.5 petrol titanium plus at bsiv,821000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,25925,tn19,1497,automatic,21,12,13,33,9,14.8,121.36,150.0,16.0,Chennai
petrol,hatchback,1,hyundai,hyundai i20,2021,8161,asta opt bsvi,865000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,unknown,1197,manual,30,12,18,39,12,21.0,81.8,114.74,16.0,Chennai
petrol,hatchback,1,honda,honda jazz,2019,6506,vx cvt,792000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,17711,tn07,1199,automatic,21,13,13,25,9,18.2,88.7,110.0,15.0,Chennai
diesel,sedan,1,bmw,bmw 3 series,2020,7103,320d luxury line,4050000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,50000,tn01,1995,automatic,29,15,13,34,14,20.37,187.74,400.0,17.0,Chennai
petrol,hatchback,1,maruti,maruti swift,2018,6324,vxi 2018,610000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,unknown,1197,manual,12,10,5,26,7,22.0,81.8,113.0,16.0,Chennai
