ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,hatchback,1,volkswagen,volkswagen polo,2022,7746,1.0 tsi highline plus at,1044000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,ts04,999.0,automatic,18,13,15,30,10,16.47,108.62,173.80562174236783,16.0,Hyderabad
petrol,hatchback,2,hyundai,hyundai eon,2014,1502,era plus,260000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,85582,ts09,814.0,manual,9,6,6,13,0,21.1,55.2,74.5,16.0,Hyderabad
petrol,suv,1,hyundai,hyundai venue,2023,9153,s bsvi,955000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,10000,unknown,1197.0,manual,12,9,8,29,9,0.0,81.8,113.8,16.0,Hyderabad
petrol,hatchback,1,maruti,maruti baleno,2017,3970,1.2 alpha,671000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50750,ts07,1197.0,manual,15,12,13,28,9,21.4,83.1,115.0,16.0,Hyderabad
petrol,suv,1,mahindra,mahindra thar,2022,8074,lx 4-str hard top at bsvi,1900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,4,10000,unknown,1997.0,automatic,12,10,7,24,9,0.0,150.0,320.0,18.0,Hyderabad
petrol,suv,1,kia,kia sonet,2021,8008,htx plus turbo imt bsvi,1178000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,10000,ts09,998.0,manual,20,13,18,29,10,18.2,118.36,172.0,16.0,Hyderabad
petrol,hatchback,1,maruti,maruti celerio,2017,6054,zxi optional amt bsiv,488999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,66366,ts07,998.0,automatic,12,10,10,22,8,23.1,67.04,90.0,16.0,Hyderabad
petrol,sedan,1,hyundai,hyundai verna,2022,7733,sx opt turbo,1541000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,5000,unknown,998.0,automatic,28,12,15,29,10,19.2,118.41,172.0,16.0,Hyderabad
petrol,hatchback,1,maruti,maruti celerio,2017,3983,zxi optional,465000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,72544,ts07,998.0,manual,11,10,10,21,7,23.1,67.04,90.0,14.0,Hyderabad
petrol,hatchback,1,ford,ford figo,2021,7594,titanium,728000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,29154,ts09,1194.0,manual,19,9,7,24,7,18.5,94.93,119.0,16.0,Hyderabad
