ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
diesel,hatchback,2,hyundai,hyundai i20,2015,1487,asta 1.4 crdi,509999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,rj13,1396,manual,17,11,12,24,7,22.54,88.73,219.7,16.0,Jaipur
petrol,hatchback,1,maruti,maruti swift,2012,10403,vxi,381000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,66951,rj14,1197,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Jaipur
petrol,hatchback,2,maruti,maruti celerio,2016,3982,vxi at,320000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,rj14,998,automatic,10,9,5,13,0,23.1,67.04,90.0,16.0,Jaipur
petrol,hatchback,1,hyundai,hyundai grand i10,2017,5602,1.2 kappa magna bsiv,420000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,44392,rj14,1197,manual,13,8,8,23,6,18.9,81.86,171.20369154228854,16.0,Jaipur
petrol,hatchback,1,maruti,maruti wagon r,2016,4319,amt vxi,350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,rj14,998,automatic,12,10,11,17,7,20.51,67.0,90.0,16.0,Jaipur
diesel,sedan,2,hyundai,hyundai verna,2007,1796,crdi,150000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,150000,unknown,1493,manual,11,11,5,15,4,16.8,110.0,24.0,14.0,Jaipur
petrol,sedan,2,hyundai,hyundai xcent,2016,1861,1.2 kappa s celebration edition,488999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,91771,rj32,1197,manual,14,9,11,19,8,19.1,82.0,114.0,16.0,Jaipur
diesel,sedan,1,skoda,skoda superb,2011,3217,elegance 2.0 tdi cr at,425000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,rj14,1968,automatic,18,10,10,18,4,17.2,138.1,320.0,16.0,Jaipur
diesel,suv,1,bmw,bmw x1,2014,345,sdrive20d,1375000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,58621,dl02,1995,automatic,23,13,16,28,7,17.05,184.0,380.0,17.0,Jaipur
diesel,sedan,1,skoda,skoda superb,2011,3217,elegance 2.0 tdi cr at,450000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,rj14,1968,automatic,18,10,10,18,4,17.2,138.1,320.0,16.0,Jaipur
