ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
4,2,3,19,146,2015,3979,1676,400000,5,5,120000,139,998,1,10,7,5,13,0,23.1,67.04,90.0,16.0,0
4,8,2,6,48,2018,6087,270,811000,2,5,32706,109,1497,1,17,12,12,27,9,17.0,121.31,150.0,16.0,0
4,2,1,29,261,2018,2983,125,585000,2,5,11949,107,1199,1,14,12,13,24,8,23.84,84.0,114.0,14.0,0
4,7,1,9,87,2014,1867,97,462000,2,5,17794,141,1197,1,16,10,10,18,7,19.1,81.86,113.75,14.0,0
1,8,1,19,167,2015,4277,894,790000,5,5,60000,108,1248,1,21,11,13,22,8,23.65,88.5,200.0,16.0,0
1,8,1,12,97,2020,5931,446,1900000,5,5,20000,108,1956,1,13,11,15,22,8,17.1,170.0,350.0,17.0,0
4,2,1,4,36,2017,5223,1565,345000,2,5,37772,109,1198,1,11,8,5,17,5,20.63,67.0,104.0,16.0,0
4,8,1,9,85,2021,6946,1554,1200000,5,5,30000,139,998,0,20,11,12,31,6,18.15,118.35,171.6,16.0,0
4,7,1,19,149,2018,6555,722,960000,2,5,37000,107,1462,0,22,12,11,29,8,20.28,103.25,138.0,16.0,0
4,2,1,29,261,2017,2985,129,585000,2,5,11949,107,1199,1,14,11,13,24,8,23.84,84.0,114.0,16.0,0
4,2,1,19,143,2018,3962,81,690000,5,5,50000,315,1197,1,11,10,12,24,8,21.4,83.1,115.0,16.0,0
4,2,1,9,73,2019,5606,101,682000,5,5,24887,139,1197,0,15,9,11,24,7,18.9,81.86,179.23388467374812,14.0,0
4,2,1,8,62,2018,6506,1664,825000,2,5,23000,107,1199,0,21,13,13,25,9,18.2,88.7,110.0,15.0,0
4,2,1,29,261,2018,5653,130,595000,2,5,48928,107,1199,0,17,11,13,24,8,23.84,83.83,114.0,14.0,0
1,8,3,16,134,2014,3822,1734,690000,2,7,108862,105,2179,1,17,10,11,20,4,15.1,140.0,330.0,16.0,0
1,8,1,12,97,2018,5929,435,1350000,5,5,80000,172,1956,1,14,12,16,23,8,17.1,170.0,350.0,17.0,0
1,8,1,20,189,2022,8437,571,5595000,2,5,16000,105,1950,0,26,15,23,33,12,0.0,187.74,400.0,19.0,0
1,2,2,9,76,2014,1657,755,521000,2,5,65376,134,1396,1,11,11,13,20,4,21.27,88.76,219.6,14.0,0
4,8,1,29,253,2022,9207,1791,1005000,5,5,10000,106,1199,1,14,10,11,23,11,17.33,118.35,170.0,16.0,0
4,7,2,8,59,2016,1215,1115,775000,2,5,67000,141,1497,1,17,12,10,23,7,17.8,117.3,145.0,15.0,0
1,7,3,1,17,2011,5293,682,2200000,5,5,100000,315,1995,0,19,12,12,27,6,18.48,177.0,35.7,17.0,0
4,2,1,19,163,2016,10403,1676,582000,2,5,18083,108,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
4,8,1,27,227,2020,7703,1352,1090000,5,5,30000,105,1498,1,15,10,11,23,11,16.42,104.55,142.0,16.0,0
4,2,2,29,261,2016,2983,125,457000,2,5,57634,109,1199,1,14,12,13,24,8,23.84,84.0,114.0,14.0,0
4,7,2,20,196,2016,4716,1383,4900000,5,5,50000,315,4663,0,25,12,14,29,11,7.81,453.26,700.0,19.0,0
4,7,1,8,59,2015,1279,1115,550000,5,5,110000,83,1497,1,17,10,8,23,4,17.4,117.3,145.0,15.0,0
4,2,1,9,81,2018,6670,1487,570000,2,5,23447,108,1086,0,13,8,9,23,7,20.3,68.0,99.0,16.0,0
3,2,2,9,82,2009,1712,1043,220000,5,5,30000,315,1086,1,8,6,6,16,4,13.45,62.1,96.1,13.0,0
4,7,1,20,186,2017,7578,1006,4145000,2,5,33000,109,1991,0,31,15,13,37,9,15.0,194.4,300.0,17.0,0
1,8,2,16,134,2014,3822,1734,861000,4,7,87667,108,2179,1,17,10,11,20,4,15.1,140.0,330.0,16.0,0
1,7,2,0,3,2016,12,628,1785000,5,5,40000,139,1968,0,20,13,12,30,8,17.11,174.33,380.0,16.0,0
1,8,2,16,134,2014,3823,1741,802999,2,7,79012,139,2179,1,17,11,12,22,6,15.1,140.0,330.0,17.0,0
1,8,1,12,97,2021,8320,1267,2565000,2,5,31344,109,1956,1,25,13,23,38,13,17.1,167.67,350.0,18.0,0
4,7,1,9,87,2018,5785,160,674000,5,5,50000,315,1197,1,21,10,12,29,7,20.14,81.86,179.23388467374812,14.0,0
4,2,1,19,170,2015,4310,1694,349000,2,5,12434,362,998,1,11,10,11,17,6,20.51,67.04,90.0,16.0,0
