it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Engine,Max Power,Torque,Wheel Size,Seats
0,Petrol,Hatchback,"20,000",Automatic,1,1st Owner,Volkswagen,Volkswagen Polo,2022,7746,1.0 TSI Highline Plus AT,₹ 10.44 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",2022,Third Party insurance,Petrol,5 Seats,"20,000 Kms",TS04,First Owner,999 cc,Automatic,2022.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Seat Lumbar Support', 'Multifunction Steering Wheel', 'Cruise Control', 'Rear ACVents', 'Glove Box Cooling', 'Voice Control', 'Gear Shift Indicator', 'Lane Change Indicator', 'Adjustable Headrest']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat', 'Dual Tone Dashboard', 'Leather Wrap Gear Shift Selector']","['Adjustable Head Lights', 'Fog Lights Front', 'Fog Lights Rear', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rain Sensing Wiper', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Power Antenna', 'Integrated Antenna', 'Outside Rear View Mirror Turn Indicators', 'Cornering Headlamps', 'Halogen Headlamps']","['Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Side Impact Beams', 'Front Impact Beams', 'Vehicle Stability Control System', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Ebd', 'Anti Theft Device', 'Anti Pinch Power Windows', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Hill Assist', 'Impact Sensing Auto Door Lock', 'No Of Airbags', 'Eletronic Stability Control']","['Radio', 'Speakers Front', 'Speakers Rear', 'Usb Auxiliary Input', 'Bluetooth', 'Touch Screen', 'Number Of Speaker', 'Apple Car Play', 'Android Auto', 'Mirror Link']",16.47 kmpl,999 CC,108.62bhp,175nm,R16,5
0,Petrol,Hatchback,"85,582",Manual,2,2nd Owner,Hyundai,Hyundai EON,2014,1502,Era Plus,₹ 2.60 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Oct 2014,Third Party insurance,Petrol,5 Seats,"85,582 Kms",TS09,Second Owner,814 cc,Manual,2014.0,"['Power Steering', 'Power Windows Front', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Rear Seat Headrest', 'Cup Holders Front', 'Gear Shift Indicator']","['Air Conditioner', 'Heater', 'Digital Odometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment']","['Adjustable Head Lights', 'Manually Adjustable Exterior Rear View Mirror', 'Power Antenna', 'Tinted Glass', 'Rear Spoiler', 'Chrome Grille']","['Child Safety Locks', 'Driver Air Bag', 'Day Night Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Anti Theft Device']",[],21.1 kmpl,814 CC,55.2bhp,74.5Nm,,5
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,2023,9153,S BSVI,₹ 9.55 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",2023,Third Party insurance,Petrol,5 Seats,"10,000 Kms",,First Owner,1197 cc,Manual,2023.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Rear Seat Headrest', 'Multifunction Steering Wheel', 'Rear ACVents', 'Voice Control', 'Battery Saver', 'Lane Change Indicator', 'Adjustable Headrest']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Dual Tone Dashboard']","['Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Defogger', 'Wheel Covers', 'Integrated Antenna', 'Chrome Grille', 'Roof Rail', 'Halogen Headlamps']","['Anti Lock Braking System', 'Brake Assist', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Vehicle Stability Control System', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Tyre Pressure Monitor', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Hill Assist', 'Impact Sensing Auto Door Lock', 'Speed Alert', 'No Of Airbags', 'Eletronic Stability Control']","['Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Touch Screen', 'Number Of Speaker', 'Touch Screen Size', 'Apple Car Play', 'Android Auto']",,1197 CC,81.80bhp,113.8Nm,,5
0,Petrol,Hatchback,"50,750",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,₹ 6.71 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Mar 2017,Third Party insurance,Petrol,5 Seats,"50,750 Kms",TS07,First Owner,1197 cc,Manual,2017.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Multifunction Steering Wheel', 'Navigation System', 'Engine Start Stop Button', 'Voice Control']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Outside Temperature Display', 'Height Adjustable Driver Seat']","['Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Integrated Antenna', 'Tinted Glass', 'Rear Spoiler', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille']","['Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Follow Me Home Headlamps', 'Rear Camera', 'Anti Theft Device', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts']","['Radio', 'Audio System Remote Control', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Usb Auxiliary Input', 'Bluetooth', 'Touch Screen', 'Number Of Speaker']",21.4 kmpl,1197 CC,83.1bhp,115Nm,16,5
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Mahindra,Mahindra Thar,2022,8074,LX 4-Str Hard Top AT BSVI,₹ 19 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",2022,Third Party insurance,Petrol,4 Seats,"10,000 Kms",,First Owner,1997 cc,Automatic,2022.0,"['Power Steering', 'Power Windows Front', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Rear Seat Headrest', 'Seat Lumbar Support', 'Multifunction Steering Wheel', 'Cruise Control', 'Navigation System', 'Voice Control', 'Lane Change Indicator', 'Adjustable Headrest']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat']","['Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Defogger', 'Alloy Wheels', 'Integrated Antenna', 'LEDTaillights']","['Anti Lock Braking System', 'Brake Assist', 'Centeral Locking', 'Power Door Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Rear Seat Belts', 'Seat Belt Warning', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Tyre Pressure Monitor', 'Crash Sensor', 'Ebd', 'Follow Me Home Headlamps', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Speed Alert', 'No Of Airbags', 'Eletronic Stability Control']","['Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Usb Auxiliary Input', 'Bluetooth', 'Touch Screen', 'Number Of Speaker', 'Touch Screen Size']",,1997 CC,150bhp,320Nm,18,4
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8008,HTX Plus Turbo iMT BSVI,₹ 11.78 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",2021,Third Party insurance,Petrol,5 Seats,"10,000 Kms",TS09,First Owner,998 cc,Manual,2021.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Air Quality Control', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Rear Reading Lamp', 'Rear Seat Headrest', 'Rear Seat Centre Arm Rest', 'Cup Holders Rear', 'Multifunction Steering Wheel', 'Cruise Control', 'Rear ACVents', 'Navigation System', 'Smart Access Card Entry', 'Engine Start Stop Button', 'Voice Control', 'Gear Shift Indicator', 'Battery Saver', 'Adjustable Headrest']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Electronic Multi Tripmeter', 'Leather Seats', 'Fabric Upholstery', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat', 'Ventilated Seats', 'Leather Wrap Gear Shift Selector']","['Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Integrated Antenna', 'Tinted Glass', 'Rear Spoiler', 'Sun Roof', 'Moon Roof', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille', 'Roof Rail', 'LEDDRLs', 'LEDHeadlights', 'LEDTaillights']","['Anti Lock Braking System', 'Brake Assist', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Side Air Bag Front', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Rear Seat Belts', 'Seat Belt Warning', 'Vehicle Stability Control System', 'Adjustable Seats', 'Keyless Entry', 'Engine Check Warning', 'Tyre Pressure Monitor', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Follow Me Home Headlamps', 'Rear Camera', 'Anti Pinch Power Windows', 'Speed Sensing Auto Door Lock', 'Pretensioners And Force Limiter Seatbelts', 'Hill Assist', 'Impact Sensing Auto Door Lock', 'No Of Airbags', 'Eletronic Stability Control']","['Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Bluetooth', 'Touch Screen', 'Number Of Speaker', 'Touch Screen Size', 'Apple Car Play', 'Android Auto']",18.2 kmpl,998 CC,118.36bhp,172Nm,16,5
0,Petrol,Hatchback,"66,366",Automatic,1,1st Owner,Maruti,Maruti Celerio,2017,6054,ZXI Optional AMT BSIV,₹ 4.89 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",May 2017,Zero Dep,Petrol,5 Seats,"66,366 Kms",TS07,First Owner,998 cc,Automatic,2017.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Multifunction Steering Wheel', 'Gear Shift Indicator']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Outside Temperature Display']","['Adjustable Head Lights', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Wheel Covers', 'Power Antenna', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille', 'Halogen Headlamps']","['Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Anti Theft Device', 'Pretensioners And Force Limiter Seatbelts', 'No Of Airbags']","['Cd Player', 'Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Usb Auxiliary Input', 'Bluetooth', 'Number Of Speaker']",23.1 kmpl,998 CC,67.04bhp,90Nm,,5
0,Petrol,Sedan,"5,000",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2022,7733,SX Opt Turbo,₹ 15.41 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",2022,Third Party insurance,Petrol,5 Seats,"5,000 Kms",,First Owner,998 cc,Automatic,2022.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Seat Headrest', 'Rear Seat Centre Arm Rest', 'Height Adjustable Front Seat Belts', 'Cup Holders Rear', 'Seat Lumbar Support', 'Multifunction Steering Wheel', 'Cruise Control', 'Rear ACVents', 'Engine Start Stop Button', 'Glove Box Cooling', 'Voice Control', 'Steering Wheel Gearshift Paddles', 'Steering Mounted Tripmeter', 'Tailgate Ajar', 'Luggage Hook And Net', 'Battery Saver', 'Lane Change Indicator', 'Adjustable Headrest', 'Power Boot', 'Hands Free Tailgate']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Tachometer', 'Electronic Multi Tripmeter', 'Leather Seats', 'Leather Steering Wheel', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat', 'Ventilated Seats', 'Leather Wrap Gear Shift Selector']","['Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Electric Folding Rear View Mirror', 'Rear Window Defogger', 'Alloy Wheels', 'Integrated Antenna', 'Sun Roof', 'Moon Roof', 'Outside Rear View Mirror Turn Indicators', 'Chrome Garnish', 'LEDDRLs', 'LEDHeadlights', 'LEDTaillights', 'Cornering Headlamps']","['Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Driver Air Bag', 'Passenger Air Bag', 'Side Air Bag Front', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Seat Belt Warning', 'Door Ajar Warning', 'Vehicle Stability Control System', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Tyre Pressure Monitor', 'Crash Sensor', 'Automatic Head Lamps', 'Ebd', 'Rear Camera', 'Speed Sensing Auto Door Lock', 'Isofix Child Seat Mounts', 'Pretensioners And Force Limiter Seatbelts', 'Hill Assist', 'Impact Sensing Auto Door Lock', 'Speed Alert', 'No Of Airbags', 'Eletronic Stability Control']","['Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Bluetooth', 'Touch Screen', 'Number Of Speaker', 'Apple Car Play', 'Android Auto', 'Wireless Phone Charging']",19.2 kmpl,998 CC,118.41bhp,172Nm,16,5
0,Petrol,Hatchback,"72,544",Manual,1,1st Owner,Maruti,Maruti Celerio,2017,3983,ZXI Optional,₹ 4.65 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Jun 2017,Third Party,Petrol,5 Seats,"72,544 Kms",TS07,First Owner,998 cc,Manual,2017.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Remote Fuel Lid Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Vanity Mirror', 'Rear Seat Headrest', 'Cup Holders Front', 'Multifunction Steering Wheel']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Digital Clock', 'Height Adjustable Driver Seat']","['Adjustable Head Lights', 'Fog Lights Front', 'Power Adjustable Exterior Rear View Mirror', 'Rear Window Wiper', 'Rear Window Washer', 'Rear Window Defogger', 'Alloy Wheels', 'Power Antenna', 'Outside Rear View Mirror Turn Indicators', 'Chrome Grille']","['Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Child Safety Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Centrally Mounted Fuel Tank', 'Engine Immobilizer', 'Crash Sensor', 'Anti Theft Device']","['Cd Player', 'Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Usb Auxiliary Input', 'Bluetooth']",23.1 kmpl,998 CC,67.04bhp,90Nm,14,5
0,Petrol,Hatchback,"29,154",Manual,1,1st Owner,Ford,Ford Figo,2021,7594,Titanium,₹ 7.28 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Jun 2021,Third Party,Petrol,5 Seats,"29,154 Kms",TS09,First Owner,1194 cc,Manual,2021.0,"['Power Steering', 'Power Windows Front', 'Power Windows Rear', 'Remote Trunk Opener', 'Low Fuel Warning Light', 'Accessory Power Outlet', 'Trunk Light', 'Vanity Mirror', 'Rear Seat Headrest', 'Height Adjustable Front Seat Belts', 'Cup Holders Front', 'Seat Lumbar Support', 'Multifunction Steering Wheel', 'Smart Access Card Entry', 'Engine Start Stop Button', 'Gear Shift Indicator', 'Adjustable Headrest', 'Power Boot', 'Hands Free Tailgate']","['Air Conditioner', 'Heater', 'Adjustable Steering', 'Digital Odometer', 'Tachometer', 'Electronic Multi Tripmeter', 'Fabric Upholstery', 'Glove Compartment', 'Height Adjustable Driver Seat']","['Adjustable Head Lights', 'Fog Lights Rear', 'Power Adjustable Exterior Rear View Mirror', 'Alloy Wheels', 'Power Antenna', 'Chrome Grille', 'Halogen Headlamps']","['Anti Lock Braking System', 'Centeral Locking', 'Power Door Locks', 'Anti Theft Alarm', 'Driver Air Bag', 'Passenger Air Bag', 'Day Night Rear View Mirror', 'Passenger Side Rear View Mirror', 'Halogen Headlamps', 'Rear Seat Belts', 'Seat Belt Warning', 'Door Ajar Warning', 'Side Impact Beams', 'Front Impact Beams', 'Adjustable Seats', 'Keyless Entry', 'Engine Immobilizer', 'Engine Check Warning', 'Crash Sensor', 'Ebd', 'Anti Theft Device', 'Speed Sensing Auto Door Lock', 'Speed Alert', 'No Of Airbags']","['Radio', 'Speakers Front', 'Speakers Rear', 'Integrated2Din Audio', 'Usb Auxiliary Input', 'Bluetooth', 'Number Of Speaker']",18.5 kmpl,1194 CC,94.93bhp,119Nm,R15,5
